,L,W,id_1,id_2,id_3,id_4,id_5,id_6,id_7,id_8,id_9,id_10,id_11,id_12,id_13,id_14,id_15,id_16,id_17,id_18,id_19,id_20,id_21,id_22,id_23,id_24,id_25,id_26,id_27,id_28,id_29,id_30
485,0.0192,0.0252,5.23E-10,8.98E-10,1.50E-09,2.50E-09,4.17E-09,6.90E-09,1.14E-08,1.88E-08,3.08E-08,5.03E-08,8.21E-08,1.33E-07,2.24E-07,3.65E-07,5.86E-07,9.33E-07,1.39E-06,2.07E-06,3.07E-06,4.53E-06,6.26E-06,8.09E-06,1.03E-05,1.29E-05,1.61E-05,2.00E-05,2.48E-05,3.05E-05,3.59E-05,3.81E-05
486,0.0192,0.0262,5.24E-10,9.01E-10,1.51E-09,2.51E-09,4.18E-09,6.92E-09,1.14E-08,1.88E-08,3.09E-08,5.05E-08,8.23E-08,1.34E-07,2.24E-07,3.66E-07,5.87E-07,9.35E-07,1.40E-06,2.08E-06,3.08E-06,4.54E-06,6.27E-06,8.11E-06,1.03E-05,1.29E-05,1.61E-05,2.00E-05,2.49E-05,3.06E-05,3.60E-05,3.82E-05
487,0.0192,0.0272,5.25E-10,9.03E-10,1.51E-09,2.52E-09,4.19E-09,6.93E-09,1.14E-08,1.89E-08,3.10E-08,5.06E-08,8.25E-08,1.34E-07,2.25E-07,3.67E-07,5.89E-07,9.38E-07,1.40E-06,2.08E-06,3.09E-06,4.56E-06,6.29E-06,8.13E-06,1.03E-05,1.29E-05,1.61E-05,2.01E-05,2.49E-05,3.07E-05,3.61E-05,3.83E-05
488,0.0192,0.0283,5.26E-10,9.05E-10,1.51E-09,2.52E-09,4.20E-09,6.95E-09,1.15E-08,1.89E-08,3.10E-08,5.07E-08,8.28E-08,1.34E-07,2.26E-07,3.68E-07,5.90E-07,9.40E-07,1.40E-06,2.09E-06,3.10E-06,4.57E-06,6.31E-06,8.15E-06,1.03E-05,1.30E-05,1.62E-05,2.01E-05,2.50E-05,3.07E-05,3.62E-05,3.84E-05
489,0.0192,0.0293,5.28E-10,9.08E-10,1.52E-09,2.53E-09,4.21E-09,6.97E-09,1.15E-08,1.90E-08,3.11E-08,5.09E-08,8.30E-08,1.35E-07,2.26E-07,3.69E-07,5.92E-07,9.43E-07,1.41E-06,2.09E-06,3.10E-06,4.58E-06,6.32E-06,8.17E-06,1.04E-05,1.30E-05,1.62E-05,2.02E-05,2.50E-05,3.08E-05,3.62E-05,3.84E-05
490,0.0192,0.0303,5.29E-10,9.10E-10,1.52E-09,2.54E-09,4.22E-09,6.99E-09,1.15E-08,1.90E-08,3.12E-08,5.10E-08,8.32E-08,1.35E-07,2.27E-07,3.69E-07,5.93E-07,9.45E-07,1.41E-06,2.10E-06,3.11E-06,4.59E-06,6.34E-06,8.19E-06,1.04E-05,1.30E-05,1.63E-05,2.02E-05,2.51E-05,3.09E-05,3.63E-05,3.85E-05
491,0.0192,0.0314,5.30E-10,9.13E-10,1.53E-09,2.54E-09,4.23E-09,7.01E-09,1.16E-08,1.91E-08,3.13E-08,5.11E-08,8.34E-08,1.35E-07,2.27E-07,3.70E-07,5.95E-07,9.48E-07,1.42E-06,2.10E-06,3.12E-06,4.60E-06,6.35E-06,8.21E-06,1.04E-05,1.30E-05,1.63E-05,2.03E-05,2.52E-05,3.10E-05,3.64E-05,3.86E-05
492,0.0192,0.0324,5.31E-10,9.15E-10,1.53E-09,2.55E-09,4.24E-09,7.02E-09,1.16E-08,1.91E-08,3.14E-08,5.12E-08,8.36E-08,1.36E-07,2.28E-07,3.71E-07,5.96E-07,9.50E-07,1.42E-06,2.11E-06,3.13E-06,4.62E-06,6.37E-06,8.23E-06,1.04E-05,1.31E-05,1.63E-05,2.03E-05,2.52E-05,3.10E-05,3.65E-05,3.87E-05
493,0.0192,0.0334,5.33E-10,9.17E-10,1.53E-09,2.56E-09,4.25E-09,7.04E-09,1.16E-08,1.92E-08,3.14E-08,5.14E-08,8.38E-08,1.36E-07,2.28E-07,3.72E-07,5.98E-07,9.53E-07,1.42E-06,2.11E-06,3.14E-06,4.63E-06,6.38E-06,8.25E-06,1.05E-05,1.31E-05,1.64E-05,2.04E-05,2.53E-05,3.11E-05,3.65E-05,3.88E-05
494,0.0192,0.0345,5.34E-10,9.20E-10,1.54E-09,2.56E-09,4.26E-09,7.06E-09,1.17E-08,1.92E-08,3.15E-08,5.15E-08,8.40E-08,1.36E-07,2.29E-07,3.73E-07,5.99E-07,9.56E-07,1.43E-06,2.12E-06,3.15E-06,4.64E-06,6.40E-06,8.27E-06,1.05E-05,1.31E-05,1.64E-05,2.04E-05,2.53E-05,3.12E-05,3.66E-05,3.88E-05
